identificador;asignatura;anho;convocatoria;tipoexam;puntaje
88ac021e5e7744410aa898cd7124212f;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;2F   ;75
eaec9ae1609a6e5b0d6ac84a8c06b408;LOGICA PARA CIENCIAS DE LA COMPUTACION;2014;1;2F   ;70
05c4a7ed0fa9b5b805a05124faaa1fd9;FISICA 4;2014;1;1F   ;78
1daad752adbea3c692c278f328d6eaa5;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;1F   ;43
88ac021e5e7744410aa898cd7124212f;INGLES;2014;1;1F   ;77
0811bee698cdb376f34fcdc8aaa38027;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;60
7f30fc39645310a13a27780b0ab51519;DESEMPEÑO Y SEGURIDAD EN LAS REDES;2014;1;1F   ;100
ec92aa1ac9b38389fe8682c8208ada10;LENGUAJES DE PROGRAMACION I;2014;1;2F   ;74
eef17800f55565f0f33bafa0a20f6cb9;DATA WAREHOUSE I - DISEÑO MULTIDIMENSIONAL;2014;1;2F   ;87
95a90cf89de6459e0ae448015edbd5f2;INVESTIGACION DE OPERACIONES I;2014;1;1F   ;94
a7fd77f56e0d97980ac38eb3fca834ac;TECNICAS DE ORGANIZACION Y METODOS;2014;1;1F   ;90
29b36d4859faacd94da37426baf1b574;DATA WAREHOUSE I - DISEÑO MULTIDIMENSIONAL;2014;1;2F   ;85
a7fd77f56e0d97980ac38eb3fca834ac;FISICA 3;2014;1;2F   ;82
d7fc2ef8547e53f00c3eeaf8f8ee7c09;DATA WAREHOUSE I - DISEÑO MULTIDIMENSIONAL;2014;1;2F   ;94
05c4a7ed0fa9b5b805a05124faaa1fd9;DIDACTICA UNIVERSITARIA;2014;1;1F   ;86
d7fc2ef8547e53f00c3eeaf8f8ee7c09;INGENIERIA DE SOFTWARE II;2014;1;2F   ;69
7f30fc39645310a13a27780b0ab51519;TECNICAS DE ORGANIZACION Y METODOS;2014;1;1F   ;100
238fec3317571637ed2c8588dcff656a;TECNICAS DE ORGANIZACION Y METODOS;2014;1;1F   ;90
7f30fc39645310a13a27780b0ab51519;INGENIERIA DE SOFTWARE II;2014;1;1F   ;85
238fec3317571637ed2c8588dcff656a;PROBABILIDADES Y ESTADISTICA;2014;1;2F   ;80
7f30fc39645310a13a27780b0ab51519;MATEMATICA APLICADA;2014;1;1F   ;80
e514644b3f3c4eb20eedf86159b07677;DIDACTICA UNIVERSITARIA;2014;1;1F   ;89
038e80df935a79af114d0dbc2c052b3f;DESEMPEÑO Y SEGURIDAD EN LAS REDES;2014;1;2F   ;75
b4ed38831c3af8d5ebca8617548bd712;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;1F   ;54
7f30fc39645310a13a27780b0ab51519;MARKETING;2014;1;2F   ;85
0b6f5f2d7dd9f838a6d9a3c9220e6682;FISICA 4;2014;1;2F   ;100
038e80df935a79af114d0dbc2c052b3f;INVESTIGACION DE OPERACIONES I;2014;1;1F   ;90
417f618a93c8dedd299da50f39365831;ALGEBRA LINEAL;2014;1;2F   ;69
038e80df935a79af114d0dbc2c052b3f;LENGUAJES DE PROGRAMACION III;2014;1;1F   ;58
238fec3317571637ed2c8588dcff656a;ECONOMIA Y FINANZAS;2014;1;2F   ;75
038e80df935a79af114d0dbc2c052b3f;REDES DE COMPUTADORAS II;2014;1;1F   ;64
5d9c615810d0a0bd98f3289e10fb6eb0;FISICA 1;2014;1;2F   ;27
038e80df935a79af114d0dbc2c052b3f;SISTEMAS DISTRIBUIDOS;2014;1;1F   ;82
82b16c7be887349c3e3352c1e516a0bf;CALCULO II;2014;1;1F   ;68
7f30fc39645310a13a27780b0ab51519;ADMINISTRACION GUBERNAMENTAL;2014;1;1F   ;100
ff42a45213a8e8f4b0d7c90e53338b3c;FISICA 1;2014;1;1F   ;80
038e80df935a79af114d0dbc2c052b3f;MATEMATICA APLICADA;2014;1;1F   ;65
